E	min	max	central
10.0	-0.08036874619485490	0.08956553583173800	0.00459839481844153
12.0	-0.08036874619485490	0.08956553583173800	0.00459839481844153
12.0	-0.08868253615713830	0.13133927877458500	0.02132837130872340
14.000000000000000	-0.08868253615713830	0.13133927877458500	0.02132837130872340
14.000000000000000	-0.06877376107147790	0.20290635010494300	0.06706629451673260
16.0	-0.06877376107147790	0.20290635010494300	0.06706629451673260
16.0	-0.015024627244972800	0.31131847687784500	0.14814692481643600
18.0	-0.015024627244972800	0.31131847687784500	0.14814692481643600
18.0	0.10611837072289800	0.4883395494458220	0.2972289600843600
20.0	0.10611837072289800	0.4883395494458220	0.2972289600843600
20.0	0.2904323718982320	0.6892911538694690	0.4898617628838500
21.0	0.2904323718982320	0.6892911538694690	0.4898617628838500
21.0	0.5160927044530630	0.8603669331657610	0.6882298188094120
22.0	0.5160927044530630	0.8603669331657610	0.6882298188094120
22.0	0.7259100892095100	0.9614624962326650	0.8436862927210870
23.0	0.7259100892095100	0.9614624962326650	0.8436862927210870
23.0	0.7515232552549510	0.994402417641144	0.8729628364480480
24.0	0.7515232552549510	0.994402417641144	0.8729628364480480
24.0	0.7817290001780930	1.0398385032126300	0.9107837516953610
25.000000000000000	0.7817290001780930	1.0398385032126300	0.9107837516953610
25.000000000000000	0.8027892385210420	1.0817472568620600	0.9422682476915530
26.0	0.8027892385210420	1.0817472568620600	0.9422682476915530
26.0	0.8352059519602240	1.1383090150627900	0.986757483511505
27.0	0.8352059519602240	1.1383090150627900	0.986757483511505
27.0	0.8810028276609380	1.2074004121670800	1.0442016199140100
28.000000000000000	0.8810028276609380	1.2074004121670800	1.0442016199140100
28.000000000000000	0.9491158124333060	1.2994495367895900	1.1242826746114500
29.0	0.9491158124333060	1.2994495367895900	1.1242826746114500
29.0	1.0095338256872800	1.3955998064822100	1.202566816084740
30.000000000000000	1.0095338256872800	1.3955998064822100	1.202566816084740
30.000000000000000	1.0852233494745700	1.5104173134784200	1.2978203314764900
31.0	1.0852233494745700	1.5104173134784200	1.2978203314764900
31.0	1.187233212850140	1.6521602797806400	1.419696746315390
32.0	1.187233212850140	1.6521602797806400	1.419696746315390
32.0	1.3036649087844700	1.8223655931477700	1.5630152509661200
33.0	1.3036649087844700	1.8223655931477700	1.5630152509661200
33.0	1.4478810320781600	2.0171273693882400	1.7325042007332000
34.0	1.4478810320781600	2.0171273693882400	1.7325042007332000
34.0	1.6192354192448600	2.247741001156070	1.9334882102004600
35.0	1.6192354192448600	2.247741001156070	1.9334882102004600
35.0	1.840565368561480	2.5399531960625100	2.190259282311990
36.0	1.840565368561480	2.5399531960625100	2.190259282311990
36.0	2.1194739278523300	2.891818561524760	2.5056462446885400
37.0	2.1194739278523300	2.891818561524760	2.5056462446885400
37.0	2.4843150990770500	3.338051413773290	2.9111832564251700
38.0	2.4843150990770500	3.338051413773290	2.9111832564251700
38.0	2.9441134318182800	3.929244065650520	3.4366787487344000
39.0	2.9441134318182800	3.929244065650520	3.4366787487344000
39.0	3.590609202356220	4.7657372811272500	4.178173241741740
40.0	3.590609202356220	4.7657372811272500	4.178173241741740
40.0	4.466367420335890	5.956254999600620	5.211311209968250
41.0	4.466367420335890	5.956254999600620	5.211311209968250
41.0	5.730415105814850	7.789999545019220	6.760207325417040
42.0	5.730415105814850	7.789999545019220	6.760207325417040
42.0	7.75846475485533	10.666688335571800	9.212576545213560
43.0	7.75846475485533	10.666688335571800	9.212576545213560
43.0	11.343979334580200	14.89734706170250	13.120663198141400
44.0	11.343979334580200	14.89734706170250	13.120663198141400